year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1865,0.164367816,0.175716404,0.167309332,0.168068012,0.095692592,0.136270122,0.225893425,0.18078222,0.337757382,0.107620932,0.532052913,0.478872284,0.324993009,0.376823007,0.25380815,0.355302143,0.277121915,0.45949353,0.306576248,0.442058173,0.168671214,0.232703813,0.324030859,0.114249742,0.297528699,0.350416486
1866,0.166262069,0.179803172,0.168784462,0.169693252,0.097031897,0.137913848,0.227451348,0.181820531,0.341184314,0.108497801,0.534851934,0.483143518,0.325954472,0.379616311,0.255689573,0.358423008,0.278177874,0.461112754,0.306872557,0.439811261,0.169977323,0.235396888,0.325219225,0.118569215,0.299211098,0.353584963
1867,0.168156322,0.183894817,0.170259593,0.171318491,0.098371201,0.139557573,0.229009272,0.182858842,0.344611247,0.10937467,0.537847228,0.487414751,0.326915935,0.382409616,0.257570996,0.361543873,0.279233832,0.462739372,0.307168866,0.437576282,0.171283431,0.238124052,0.326417174,0.122049329,0.300893497,0.35675344
1868,0.170050575,0.187981585,0.171734723,0.172943731,0.099710505,0.141201298,0.230567195,0.183897153,0.34803818,0.110251539,0.540171212,0.491685985,0.327877398,0.38520292,0.259452419,0.364664737,0.28028979,0.464371534,0.307465175,0.435353236,0.17258954,0.240876783,0.327615123,0.126497934,0.302575896,0.359921917
1869,0.171944828,0.19207323,0.173209853,0.174568971,0.10104981,0.142855628,0.232125118,0.184935465,0.351465112,0.111128408,0.544358365,0.495957219,0.328838861,0.387996225,0.261333842,0.367785602,0.281345748,0.466009242,0.307761484,0.43314093,0.173895649,0.243663604,0.328822656,0.130752841,0.304258295,0.363090395
1870,0.17383908,0.196247781,0.174684983,0.176194211,0.102389114,0.144509958,0.233683042,0.185973776,0.354892045,0.112005277,0.546107753,0.500228453,0.329800324,0.39078953,0.263215265,0.370906467,0.282401707,0.467652495,0.308057793,0.430940558,0.175201757,0.279048561,0.330030188,0.133393595,0.305940694,0.366258872
1871,0.174758621,0.200427209,0.1768072,0.178403542,0.10430166,0.147153881,0.236646346,0.187244699,0.358318978,0.115693072,0.546926979,0.50555512,0.331886051,0.395067316,0.266096557,0.375505988,0.284344171,0.46842329,0.308354248,0.432135067,0.178500224,0.281818337,0.332052326,0.127905475,0.308403675,0.369427349
1872,0.177931034,0.205489339,0.178948366,0.180612874,0.106256009,0.149819013,0.239609651,0.188515621,0.36174591,0.119380868,0.549381811,0.510881786,0.333971777,0.399345102,0.268977848,0.380105509,0.286286635,0.469194085,0.308650703,0.433331962,0.181798691,0.284622203,0.334074465,0.131844008,0.310552629,0.372595826
1873,0.181287356,0.21055147,0.181108479,0.182822206,0.108252163,0.152526565,0.242572956,0.189786544,0.365172843,0.123068663,0.553022814,0.516208453,0.336057503,0.403622889,0.27185914,0.384705031,0.288229099,0.469968577,0.308947157,0.434532438,0.185097158,0.28746868,0.336096603,0.135847107,0.312675414,0.375764303
1874,0.18445977,0.2156136,0.18330649,0.185031538,0.110279671,0.155244721,0.245536261,0.191057466,0.368599775,0.126756458,0.557030761,0.52153512,0.338143229,0.407900675,0.274740432,0.389304552,0.290171564,0.470743068,0.309243612,0.435736493,0.188395625,0.290349247,0.337677895,0.141335227,0.314824369,0.37893278
