t,Region,Urban,Rural
1991,12,21.63239,28.28318
1991,13,21.70598,28.36827
1991,14,18.82802,24.44835
1991,15,14.76211,19.61153
1991,16,18.56039,23.90502
1991,17,15.13422,19.76008
1991,18,5.753808,7.7939
1991,19,20.18183,26.07205
1991,20,10.83311,14.64272
1991,21,8.928774,12.0072
1991,22,8.654023,11.65549
1991,23,25.83753,33.62964
1991,24,37.90657,48.07789
1991,25,10.7599,14.60806
1991,26,7.022159,9.519649
1991,27,0,0
1992,1,35.42892,45.26579
1992,2,44.96628,57.5411
1992,3,25.64528,33.00988
1992,4,14.04222,18.49301
1992,5,15.26652,19.55723
1992,6,13.26147,16.99759
1992,7,12.03414,15.90791
1992,8,7.931029,10.65361
1992,9,4.913833,6.710454
1992,10,7.404448,9.748256
1992,11,36.53707,46.96763
1992,12,21.11955,27.60949
1992,13,21.87972,28.57671
1992,14,17.12425,22.23376
1992,15,14.93,19.84181
1992,16,17.22526,22.18643
1992,17,15.4978,20.22542
1992,18,5.751529,7.789073
1992,19,20.62279,26.62047
1992,20,11.98947,16.19052
1992,21,9.00751,12.10934
1992,22,8.695429,11.69946
1992,23,26.17746,34.05986
1992,24,37.97095,48.14598
1992,25,10.76051,14.60463
1992,26,6.888559,9.332823
1992,27,0,0
1993,1,35.63491,45.51196
1993,2,45.55783,58.26072
1993,3,25.59044,32.92112
1993,4,13.99996,18.42596
1993,5,15.57726,19.93167
1993,6,14.03236,17.97379
1993,7,11.96457,15.81104
1993,8,7.909344,10.61916
1993,9,4.923928,6.721715
1993,10,7.363441,9.689239
1993,11,36.46559,46.86721
1993,12,20.99724,27.44644
1993,13,22.58088,29.47316
1993,14,15.87593,20.61087
1993,15,14.69222,19.53294
1993,16,17.23278,22.19714
1993,17,15.1384,19.74718
1993,18,5.774317,7.818188
1993,19,21.0969,27.21041
1993,20,13.28884,17.92836
1993,21,9.120133,12.25697
1993,22,8.862296,11.91199
1993,23,26.33747,34.25568
1993,24,38.11469,48.31447
1993,25,10.74735,14.58253
1993,26,6.734293,9.118251
1993,27,0,0
1994,1,36.24053,46.26796
1994,2,46.20058,59.04414
1994,3,25.93344,33.3437
1994,4,14.0634,18.49799
1994,5,16.19197,20.69285
1994,6,14.24727,18.23677
1994,7,12.03302,15.89655
1994,8,7.893327,10.59235
1994,9,4.90584,6.694512
1994,10,7.475339,9.831362
1994,11,36.73825,47.209
1994,12,21.35872,27.91572
1994,13,21.82591,28.46897
1994,14,15.4362,20.03799
1994,15,14.23795,18.93591
1994,16,17.29244,22.27501
1994,17,15.43724,20.12758
1994,18,5.800065,7.851298
1994,19,21.83521,28.13947
1994,20,13.87247,18.69826
1994,21,9.280456,12.46859
1994,22,8.98841,12.06939
1994,23,26.69079,34.70266
1994,24,38.63217,48.95636
1994,25,10.73034,14.5552
1994,26,6.685007,9.046004
1994,27,0,0
1995,1,36.56569,46.66526
1995,2,46.63131,59.55499
1995,3,24.44617,31.41366
1995,4,14.15885,18.61197
1995,5,16.97293,21.66337
1995,6,14.27507,18.25986
1995,7,11.96007,15.79526
1995,8,7.910188,10.60967
1995,9,4.933607,6.72988
1995,10,7.740202,10.17439
1995,11,36.98597,47.51856
1995,12,21.69687,28.35442
1995,13,22.24059,28.9906
1995,14,15.29852,19.85724
1995,15,13.96634,18.58146
1995,16,17.21573,22.17719
1995,17,15.31384,19.95728
1995,18,5.842433,7.906888
1995,19,22.76493,29.31301
1995,20,15.03769,20.24994
1995,21,9.400278,12.62568
1995,22,9.189638,12.32724
1995,23,26.93835,35.01176
1995,24,40.0347,50.71898
1995,25,10.75215,14.58053
1995,26,6.728094,9.098774
1995,27,0,0
1996,1,37.08445,47.29701
1996,2,47.16445,60.19741
1996,3,24.48842,31.45541
1996,4,14.37505,18.88585
1996,5,17.1923,21.91532
1996,6,14.42119,18.43565
1996,7,12.02406,15.8756
1996,8,7.925798,10.62473
1996,9,4.950861,6.75142
1996,10,7.931079,10.41994
1996,11,37.3068,47.92065
1996,12,22.35403,29.21287
1996,13,22.96488,29.91674
1996,14,15.08721,19.58117
1996,15,13.87796,18.46829
1996,16,17.09254,22.01944
1996,17,15.51109,20.20529
1996,18,5.909287,7.99554
1996,19,23.38409,30.10213
1996,20,16.26821,21.88475
1996,21,9.50829,12.76573
1996,22,9.382595,12.56979
1996,23,27.26133,35.42666
1996,24,40.9579,51.86826
1996,25,10.78098,14.61483
1996,26,6.816355,9.213513
1996,27,0,0
1997,1,38.2391,48.73781
1997,2,47.68629,60.82385
1997,3,25.03743,32.14768
1997,4,14.56943,19.13077
1997,5,17.3926,22.14116
1997,6,14.88328,19.01472
1997,7,11.99687,15.83554
1997,8,7.9453,10.64498
1997,9,4.984264,6.794964
1997,10,8.052969,10.57463
1997,11,37.62811,48.32312
1997,12,22.79837,29.79322
1997,13,23.71815,30.87938
1997,14,15.24041,19.77819
1997,15,13.88569,18.483
1997,16,17.24152,22.2123
1997,17,15.00697,19.53981
1997,18,5.911762,7.997064
1997,19,23.62816,30.40805
1997,20,16.85773,22.65486
1997,21,9.551762,12.81904
1997,22,9.551497,12.77954
1997,23,27.34172,35.52623
1997,24,41.41227,52.42287
1997,25,10.76183,14.58407
1997,26,6.908302,9.33312
1997,27,0,0
1998,1,38.84041,49.47127
1998,2,48.354,61.63459
1998,3,27.37318,35.13247
1998,4,14.79519,19.41655
1998,5,17.15068,21.80294
1998,6,14.93612,19.07034
1998,7,12.00854,15.84679
1998,8,7.977669,10.68244
1998,9,4.965185,6.766957
1998,10,8.071925,10.59405
1998,11,38.11846,48.94239
1998,12,23.15083,30.25345
1998,13,23.61081,30.72093
1998,14,15.46146,20.0632
1998,15,13.89133,18.49493
1998,16,17.16335,22.11252
1998,17,15.09284,19.64272
1998,18,5.963315,8.064963
1998,19,21.88584,28.15809
1998,20,17.42076,23.38789
1998,21,9.406292,12.61884
1998,22,9.408441,12.57191
1998,23,27.19393,35.32932
1998,24,42.56885,53.86532
1998,25,10.7745,14.59645
1998,26,6.941204,9.372883
1998,27,0,0
1999,1,39.75402,50.60059
1999,2,49.15179,62.60909
1999,3,27.75415,35.60682
1999,4,14.99513,19.66812
1999,5,17.04455,21.63662
1999,6,14.49109,18.49038
1999,7,12.04156,15.88619
1999,8,7.984169,10.68524
1999,9,4.958611,6.756004
1999,10,8.096094,10.62026
1999,11,38.64341,49.60575
1999,12,23.58483,30.82024
1999,13,23.44706,30.48916
1999,14,15.52212,20.14007
1999,15,13.87846,18.48221
1999,16,17.09284,22.02262
1999,17,15.10863,19.65432
1999,18,6.012451,8.129563
1999,19,23.01346,29.60071
1999,20,18.45575,24.75244
1999,21,9.461824,12.68835
1999,22,9.50378,12.68295
1999,23,27.31941,35.48742
1999,24,43.86106,55.47786
1999,25,10.77339,14.59015
1999,26,7.004959,9.454252
1999,27,0,0
2000,1,40.72153,51.79612
2000,2,49.76194,63.34247
2000,3,28.59022,36.66423
2000,4,15.24828,19.9891
2000,5,17.36487,22.00975
2000,6,14.54593,18.54835
2000,7,11.93703,15.74413
2000,8,7.949854,10.63345
2000,9,4.934801,6.721586
2000,10,8.31014,10.89536
2000,11,39.13281,50.22316
2000,12,23.94916,31.29597
2000,13,23.95723,31.13329
2000,14,15.76057,20.44757
2000,15,13.81979,18.40847
2000,16,17.28382,22.26962
2000,17,15.31426,19.9127
2000,18,6.033303,8.155902
2000,19,23.87879,30.70525
2000,20,19.27687,25.82771
2000,21,9.454831,12.67399
2000,22,9.523287,12.69262
2000,23,27.40846,35.59816
2000,24,44.82919,56.67897
2000,25,10.80059,14.62219
2000,26,6.929606,9.347891
2000,27,0,0
2001,1,41.10826,52.27489
2001,2,50.02155,63.63181
2001,3,28.68455,36.76712
2001,4,15.30331,20.05025
2001,5,17.69205,22.39414
2001,6,14.42508,18.38278
2001,7,12.18057,16.06091
2001,8,8.02882,10.73272
2001,9,4.959125,6.752647
2001,10,8.479836,11.11208
2001,11,39.41848,50.57035
2001,12,24.54159,32.06544
2001,13,23.00256,29.87456
2001,14,16.33794,21.19229
2001,15,13.91561,18.53658
2001,16,17.56038,22.62868
2001,17,15.63331,20.31877
2001,18,6.090188,8.230965
2001,19,24.49337,31.48443
2001,20,19.70614,26.36611
2001,21,9.65688,12.93879
2001,22,9.558264,12.73672
2001,23,27.62746,35.87618
2001,24,45.60427,57.63442
2001,25,10.81374,14.63518
2001,26,6.936188,9.351624
2001,27,0,0
2002,1,41.89298,53.25927
2002,2,50.23598,63.86241
2002,3,28.71631,36.78953
2002,4,15.45094,20.23256
2002,5,17.62369,22.27605
2002,6,13.75026,17.51169
2002,7,12.29947,16.21321
2002,8,8.107743,10.83182
2002,9,4.972079,6.768214
2002,10,8.629902,11.30283
2002,11,39.5791,50.75669
2002,12,25.20131,32.92258
2002,13,23.39079,30.36022
2002,14,16.88795,21.9012
2002,15,14.02429,18.68183
2002,16,17.84066,22.99263
2002,17,15.88219,20.63328
2002,18,6.102068,8.245182
2002,19,25.52014,32.79264
2002,20,20.53619,27.43851
2002,21,9.742457,13.04736
2002,22,9.615451,12.81039
2002,23,27.77148,36.05674
2002,24,46.23981,58.41243
2002,25,10.8387,14.66413
2002,26,7.020267,9.459786
