t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1994,27366.22342,32871.19905,10745.36171,6284.0805,7509.603567,7386.601641,4006.418407,1166.050842,798.5343828,6883.903416,24704.8229,8381.350814,7602.81113,4266.155115,2467.293065,7565.564031,8525.457711,1301.962714,10254.54292,2463.473651,3082.368826,2634.950332,27116.14653,21240.6215,1234.786295,1101.903278
1995,27851.94239,33292.91719,9894.470109,6387.905582,7723.664528,7507.501919,3971.964286,1174.864988,820.5782724,6948.518941,25250.51795,8868.516076,8061.251608,3788.412496,2278.397354,7261.488097,8525.457143,1373.789839,11043.37814,2654.993432,3277.860501,2806.98283,27561.14823,21882.23789,1278.555661,1125.65451
1996,28032.39907,34108.95727,10217.89939,6565.69121,7771.270977,7628.711483,4127.617822,1195.51281,846.8433752,7111.548639,25646.09921,9292.29793,8508.948259,3526.296195,2258.804696,7023.941789,8765.959491,1450.130808,11670.62277,2851.902089,3458.424566,2977.691097,28243.61673,22486.00598,1305.663725,1177.455218
1997,28951.60173,35210.61612,10720.6074,6767.844589,7913.353011,7964.193355,4164.797729,1207.544847,865.4261825,7176.842125,26292.54777,9634.274229,8999.518412,3557.207039,2285.418543,7144.260239,8829.913442,1481.55893,12066.24587,3056.158832,3547.628922,3067.950521,28624.12766,23018.93269,1314.059567,1215.531561
1998,29870.09872,36237.30338,11059.09767,6963.644933,7798.798788,7983.648377,4257.673465,1215.845132,867.0915269,7102.681136,27006.55097,9914.649431,9055.144887,3600.347964,2274.889711,6801.330214,9009.427163,1545.436696,11156.84107,3204.724493,3331.016865,2633.080237,27985.07478,23650.40191,1330.168619,1246.187977
1999,31237.78847,37405.59888,11308.06529,7150.771498,7703.893421,7600.389609,4331.431697,1205.784261,875.5386221,7162.754121,27729.3347,10121.81401,8610.53999,3655.677162,2347.512194,7254.708288,8940.858212,1630.772203,12106.01161,3395.039571,3452.535049,2617.541499,27898.03359,24598.03413,1353.692699,1257.436999
2000,32563.29355,38340.23891,11881.69925,7374.436323,7920.492291,7644.867596,4392.518272,1211.977382,890.7770256,7351.121785,28701.7855,10555.80853,9053.041679,3902.145382,2535.98329,8001.69571,9213.073356,1667.549919,13015.58826,3625.593661,3648.30252,2704.367338,28649.37172,25221.73078,1389.991191,1267.885997
2001,32816.53632,38212.56603,11708.95942,7391.296649,7911.41943,7586.329732,4505.486245,1229.888398,915.4695446,7442.056991,29129.44811,10920.03404,8412.621174,4250.784765,2807.675281,8448.437729,9180.805226,1725.122889,13445.67178,3789.195995,3671.915841,2762.531119,28656.61879,25443.69266,1395.69116,1283.39853
2002,33429.25289,38430.96639,11666.68337,7440.827601,8009.99899,7237.48528,4580.779467,1228.41196,913.5626169,7604.567111,29307.4931,11302.73532,8806.589845,4511.044788,3025.343651,8898.081637,9188.434719,1760.650131,14308.51216,4047.02395,3796.933432,2845.241528,28688.80851,26105.29589,1437.075994,1339.246527
2003,33701.29894,39013.12884,11695.68151,7585.463146,7994.121065,7342.195595,4702.743144,1279.237681,926.0849373,7732.848047,29469.25951,11814.57986,9145.749968,4945.63286,3263.118885,9605.862252,9526.201813,1877.287773,14634.20882,4346.401455,3948.601815,2939.942415,29056.54996,26603.27906,1484.305478,1359.277007
